//rtl8814b version = 26
0x1d0c	0x00010000	
0x51e4	0x00000000	
0x51e8	0x00000000	
0x51ec	0x00000000	
0x51f0	0x00000000	
0x51f4	0x00000000	
0x51f8	0x00000000	
0x51fc	0x00000000	
0x5200	0x00033312	
0x5204	0x00033312	
0x520c	0x10048248	
0x5210	0x6005c304	
0x5214	0x506aa234	
0x5218	0x000004ff	
0x521c	0x00000000	
0x5220	0x000cc30c	
0x5224	0x106aa234	
0x5228	0x000004fd	
0x522c	0x00000000	
0x5234	0x00000000	
0x5238	0x01004E00 //rfm PAPE and TRSW for path C	
0x523c	0x00000400 //inv rfm trsw for path C	
0x5240	0x77777777 //path C	
0x5244	0x77777420 //path C	
0x5248	0x00000000	
0x524c	0x00000000	
0x5250	0x00000000	
0x5254	0x00000000	
0x5258	0x00000000	
0x525c	0x00000000	
0x5260	0xf0040000	
0x5264	0x00000000	
0x5268	0x00000000	
0x526c	0x24000002 //TRSW LUT and rfm trsw for path C	
0x5270	0x00000000	
0x5274	0x00000000	
0x5278	0x00000000	
0x527c	0x00000000	
0x5280	0x00000000	
0x5284	0x00000000	
0x5288	0x00000000	
0x528c	0x00000000	
0x5290	0x00000000	
0x5294	0x00000000	
0x5298	0x00000000	
0x52a0	0x00510000	
0x52a4	0x083c1f7f	
0x52a8	0x00004998	
0x52ac	0x00004200	
0x52b0	0x03000F09	
0x52b4	0x00000000	
0x52b8	0x00000000	
0x52bc	0xc100ffc0	
0x52c0	0x000001ff	
0x52c4	0x00000004	
0x52c8	0x001DFFE0	
0x52cc	0x03000F09	
0x52d0	0x00000000	
0x52d4	0x00000000	
0x52d8	0xc100ffc0	
0x52dc	0x000001ff	
0x52e0	0x00000004	
0x52e4	0x001DFFE0	
0x52e8	0x00013E00	
0x52ec	0x1e008000	
0x52f0	0x00000000	
0x52f4	0x00000000	
0x52f8	0x00000000	
0x52fc	0x00000000	
0x5300	0x00033312	
0x5304	0x00033312	
0x530c	0x10048248	
0x5310	0x6005c304	
0x5314	0x506aa234	
0x5318	0x000004ff	
0x531c	0x00000000	
0x5320	0x000cc30c	
0x5324	0x106aa234	
0x5328	0x000004fd	
0x532c	0x00000000	
0x5334	0x00000000	
0x5338	0x01004E00 //rfm PAPE and TRSW for path D	
0x533c	0x00004000 //inv rfm trsw for path D	
0x5340	0x77777777 //path D	
0x5344	0x74207777 //path D	
0x5348	0x00000000	
0x534c	0x00000000	
0x5350	0x00000000	
0x5354	0x00000000	
0x5358	0x00000000	
0x535c	0x00000000	
0x5360	0xf0040000	
0x5364	0x00000000	
0x5368	0x00000000	
0x536c	0x24000002 //TRSW LUT and rfm trsw for path D	
0x5370	0x00000000	
0x5374	0x00000000	
0x5378	0x00000000	
0x537c	0x00000000	
0x5380	0x00000000	
0x5384	0x00000000	
0x5388	0x00000000	
0x538c	0x00000000	
0x5390	0x00000000	
0x5394	0x00000000	
0x5398	0x00000000	
0x53a0	0x00510000	
0x53a4	0x083c1f7f	
0x53a8	0x00004998	
0x53ac	0x00004200	
0x53b0	0x03000F09	
0x53b4	0x00000000	
0x53b8	0x00000000	
0x53bc	0xc100ffc0	
0x53c0	0x000001ff	
0x53c4	0x00000004	
0x53c8	0x001DFFE0	
0x53cc	0x03000F09	
0x53d0	0x00000000	
0x53d4	0x00000000	
0x53d8	0xc100ffc0	
0x53dc	0x000001ff	
0x53e0	0x00000004	
0x53e4	0x001DFFE0	
0x53e8	0x00013E00	
0x53ec	0x1e008000	
0x53f0	0x00000000	
0x53f4	0x00000000	
0x53f8	0x00000000	
0x53fc	0x00000000	
0x1c38	0x0 //reset Rx FIFO	
0x1c38	0xFFA1005E	
0x1830	0x700b8001	
0x1830	0x700b8001	
0x1830	0x70144001	
0x1830	0x70244001	
0x1830	0x70344001	
//0x1830	0x70444001	
0x1830	0x704F0001 // Solve Unnormal Spur @ PathA 20180628	
0x1830	0x705b8001	
0x1830	0x70644001	
0x1830	0x707b8001	
0x1830	0x708b8001	
0x1830	0x709b8001	
0x1830	0x70ab8001	
0x1830	0x70bb8001	
0x1830	0x70cb8001	
0x1830	0x70db8001	
0x1830	0x70eb8001	
0x1830	0x70fb8001	
0x1830	0x70fb8001	
0x4130	0x700b8001	
0x4130	0x700b8001	
0x4130	0x70144001	
0x4130	0x70244001	
0x4130	0x70344001	
//0x4130	0x70444001	
0x4130	0x704F0001 // Solve Unnormal Spur @ PathB 20180628	
0x4130	0x705b8001	
0x4130	0x70644001	
0x4130	0x707b8001	
0x4130	0x708b8001	
0x4130	0x709b8001	
0x4130	0x70ab8001	
0x4130	0x70bb8001	
0x4130	0x70cb8001	
0x4130	0x70db8001	
0x4130	0x70eb8001	
0x4130	0x70fb8001	
0x4130	0x70fb8001	
0x5230	0x700b8001	
0x5230	0x700b8001	
0x5230	0x70144001	
0x5230	0x70244001	
0x5230	0x70344001	
//0x5230	0x70444001	
0x5230	0x704F0001 // Solve Unnormal Spur @ PathC 20180628	
0x5230	0x705b8001	
0x5230	0x70644001	
0x5230	0x707b8001	
0x5230	0x708b8001	
0x5230	0x709b8001	
0x5230	0x70ab8001	
0x5230	0x70bb8001	
0x5230	0x70cb8001	
0x5230	0x70db8001	
0x5230	0x70eb8001	
0x5230	0x70fb8001	
0x5230	0x70fb8001	
0x5330	0x700b8001	
0x5330	0x700b8001	
0x5330	0x70144001	
0x5330	0x70244001	
0x5330	0x70344001	
//0x5330	0x70444001	
0x5330	0x704F0001 // Solve Unnormal Spur @ PathD 20180628	
0x5330	0x705b8001	
0x5330	0x70644001	
0x5330	0x707b8001	
0x5330	0x708b8001	
0x5330	0x709b8001	
0x5330	0x70ab8001	
0x5330	0x70bb8001	
0x5330	0x70cb8001	
0x5330	0x70db8001	
0x5330	0x70eb8001	
0x5330	0x70fb8001	
0x5330	0x70fb8001	
//CCK moved here; preventing page 0x1a parameters cleared by 1c24		
0x1a00	0x00d047c8	
0x1a04	0xC0FF0008	
0x1a08	0x88838300	
0x1a0c	0x2e20100f	
0x1a10	0x9500bb78	
0x1a14	0x111440a8	
0x1a18	0x00881117	
0x1a1c	0x89140f00	
0x1a20	0xe82c0000	
0x1a24	0x64b80c1c	
0x1a28	0x00158810	
0x1a2c	0x10998000	
0x1a70	0x00008000	
0x1a74	0x00000100	
0x1a78	0x000089f0	
0x1a7c	0x225b0606	
0x1a80	0x20803210	
0x1a84	0x80200200	
0x1a88	0x048c0000	
0x1a8c	0x00000000	
0x1a90	0x00000000	
0x1a94	0x00000000	
0x1a98	0x0000C000	
0x1a9c	0x00460000	
0x1aa0	0x00000000	
0x1aa4	0x00020000	
0x1aa8	0xBA0F0004	
0x1aac	0x01235667	
0x1ab0	0x00000000	
0x1ab4	0x0F201402	
0x1ab8	0x00000000	
0x1abc	0xc2000000	
0x1ac0	0x541CA742	
0x1ac4	0x0002C688	
0x1ac8	0x0d0f0808	
0x1acc	0x120f0f07	
0x1ad0	0x2107c210	
0x1ad4	0x0D9D8264	
0x1ad8	0x9c024024	
0x1adc	0x1463c471	
0x1ae0	0x00600391	
0x1ae4	0x08000080	
0x1d0c	0x00000000	
0x1d0c	0x00010000	
0x1d0c	0x00410000 // [22]=1 Fix HWTx RF 1/2 switch 20180702	
0x1ee8	0x00000003 //CSI mask setting	
0x0c0c	0x02f1e8bf	
0x1D94	0x40000000	
0x1D94	0x40010000	
0x1D94	0x40020000	
0x1D94	0x40030000	
0x1D94	0x40040000	
0x1D94	0x40050000	
0x1D94	0x40060000	
0x1D94	0x40070000	
0x1D94	0x40080000	
0x1D94	0x40090000	
0x1D94	0x400A0000	
0x1D94	0x400B0000	
0x1D94	0x400C0000	
0x1D94	0x400D0000	
0x1D94	0x400E0000	
0x1D94	0x400F0000	
0x1D94	0x40100000	
0x1D94	0x40110000	
0x1D94	0x40120000	
0x1D94	0x40130000	
0x1D94	0x40140000	
0x1D94	0x40150000	
0x1D94	0x40160000	
0x1D94	0x40170000	
0x1D94	0x40180000	
0x1D94	0x40190000	
0x1D94	0x401A0000	
0x1D94	0x401B0000	
0x1D94	0x401C0000	
0x1D94	0x401D0000	
0x1D94	0x401E0000	
0x1D94	0x401F0000	
0x1D94	0x40200000	
0x1D94	0x40210000	
0x1D94	0x40220000	
0x1D94	0x40230000	
0x1D94	0x40240000	
0x1D94	0x40250000	
0x1D94	0x40260000	
0x1D94	0x40270000	
0x1D94	0x40280000	
0x1D94	0x40290000	
0x1D94	0x402A0000	
0x1D94	0x402B0000	
0x1D94	0x402C0000	
0x1D94	0x402D0000	
0x1D94	0x402E0000	
0x1D94	0x402F0000	
0x1D94	0x40300000	
0x1D94	0x40310000	
0x1D94	0x40320000	
0x1D94	0x40330000	
0x1D94	0x40340000	
0x1D94	0x40350000	
0x1D94	0x40360000	
0x1D94	0x40370000	
0x1D94	0x40380000	
0x1D94	0x40390000	
0x1D94	0x403A0000	
0x1D94	0x403B0000	
0x1D94	0x403C0000	
0x1D94	0x403D0000	
0x1D94	0x403E0000	
0x1D94	0x403F0000	
0x1D94	0x40400000	
0x1D94	0x40410000	
0x1D94	0x40420000	
0x1D94	0x40430000	
0x1D94	0x40440000	
0x1D94	0x40450000	
0x1D94	0x40460000	
0x1D94	0x40470000	
0x1D94	0x40480000	
0x1D94	0x40490000	
0x1D94	0x404A0000	
0x1D94	0x404B0000	
0x1D94	0x404C0000	
0x1D94	0x404D0000	
0x1D94	0x404E0000	
0x1D94	0x404F0000	
0x1D94	0x40500000	
0x1D94	0x40510000	
0x1D94	0x40520000	
0x1D94	0x40530000	
0x1D94	0x40540000	
0x1D94	0x40550000	
0x1D94	0x40560000	
0x1D94	0x40570000	
0x1D94	0x40580000	
0x1D94	0x40590000	
0x1D94	0x405A0000	
0x1D94	0x405B0000	
0x1D94	0x405C0000	
0x1D94	0x405D0000	
0x1D94	0x405E0000	
0x1D94	0x405F0000	
0x1D94	0x40600000	
0x1D94	0x40610000	
0x1D94	0x40620000	
0x1D94	0x40630000	
0x1D94	0x40640000	
0x1D94	0x40650000	
0x1D94	0x40660000	
0x1D94	0x40670000	
0x1D94	0x40680000	
0x1D94	0x40690000	
0x1D94	0x406A0000	
0x1D94	0x406B0000	
0x1D94	0x406C0000	
0x1D94	0x406D0000	
0x1D94	0x406E0000	
0x1D94	0x406F0000	
0x1D94	0x40700000	
0x1D94	0x40710000	
0x1D94	0x40720000	
0x1D94	0x40730000	
0x1D94	0x40740000	
0x1D94	0x40750000	
0x1D94	0x40760000	
0x1D94	0x40770000	
0x1D94	0x40780000	
0x1D94	0x40790000	
0x1D94	0x407A0000	
0x1D94	0x407B0000	
0x1D94	0x407C0000	
0x1D94	0x407D0000	
0x1D94	0x407E0000	
0x1D94	0x407F0000	
0x1D94	0x40800000	
0x1D94	0x40810000	
0x1D94	0x40820000	
0x1D94	0x40830000	
0x1D94	0x40840000	
0x1D94	0x40850000	
0x1D94	0x40860000	
0x1D94	0x40870000	
0x1D94	0x40880000	
0x1D94	0x40890000	
0x1D94	0x408A0000	
0x1D94	0x408B0000	
0x1D94	0x408C0000	
0x1D94	0x408D0000	
0x1D94	0x408E0000	
0x1D94	0x408F0000	
0x1D94	0x40900000	
0x1D94	0x40910000	
0x1D94	0x40920000	
0x1D94	0x40930000	
0x1D94	0x40940000	
0x1D94	0x40950000	
0x1D94	0x40960000	
0x1D94	0x40970000	
0x1D94	0x40980000	
0x1D94	0x40990000	
0x1D94	0x409A0000	
0x1D94	0x409B0000	
0x1D94	0x409C0000	
0x1D94	0x409D0000	
0x1D94	0x409E0000	
0x1D94	0x409F0000	
0x1D94	0x40A00000	
0x1D94	0x40A10000	
0x1D94	0x40A20000	
0x1D94	0x40A30000	
0x1D94	0x40A40000	
0x1D94	0x40A50000	
0x1D94	0x40A60000	
0x1D94	0x40A70000	
0x1D94	0x40A80000	
0x1D94	0x40A90000	
0x1D94	0x40AA0000	
0x1D94	0x40AB0000	
0x1D94	0x40AC0000	
0x1D94	0x40AD0000	
0x1D94	0x40AE0000	
0x1D94	0x40AF0000	
0x1D94	0x40B00000	
0x1D94	0x40B10000	
0x1D94	0x40B20000	
0x1D94	0x40B30000	
0x1D94	0x40B40000	
0x1D94	0x40B50000	
0x1D94	0x40B60000	
0x1D94	0x40B70000	
0x1D94	0x40B80000	
0x1D94	0x40B90000	
0x1D94	0x40BA0000	
0x1D94	0x40BB0000	
0x1D94	0x40BC0000	
0x1D94	0x40BD0000	
0x1D94	0x40BE0000	
0x1D94	0x40BF0000	
0x1D94	0x40C00000	
0x1D94	0x40C10000	
0x1D94	0x40C20000	
0x1D94	0x40C30000	
0x1D94	0x40C40000	
0x1D94	0x40C50000	
0x1D94	0x40C60000	
0x1D94	0x40C70000	
0x1D94	0x40C80000	
0x1D94	0x40C90000	
0x1D94	0x40CA0000	
0x1D94	0x40CB0000	
0x1D94	0x40CC0000	
0x1D94	0x40CD0000	
0x1D94	0x40CE0000	
0x1D94	0x40CF0000	
0x1D94	0x40D00000	
0x1D94	0x40D10000	
0x1D94	0x40D20000	
0x1D94	0x40D30000	
0x1D94	0x40D40000	
0x1D94	0x40D50000	
0x1D94	0x40D60000	
0x1D94	0x40D70000	
0x1D94	0x40D80000	
0x1D94	0x40D90000	
0x1D94	0x40DA0000	
0x1D94	0x40DB0000	
0x1D94	0x40DC0000	
0x1D94	0x40DD0000	
0x1D94	0x40DE0000	
0x1D94	0x40DF0000	
0x1D94	0x40E00000	
0x1D94	0x40E10000	
0x1D94	0x40E20000	
0x1D94	0x40E30000	
0x1D94	0x40E40000	
0x1D94	0x40E50000	
0x1D94	0x40E60000	
0x1D94	0x40E70000	
0x1D94	0x40E80000	
0x1D94	0x40E90000	
0x1D94	0x40EA0000	
0x1D94	0x40EB0000	
0x1D94	0x40EC0000	
0x1D94	0x40ED0000	
0x1D94	0x40EE0000	
0x1D94	0x40EF0000	
0x1D94	0x40F00000	
0x1D94	0x40F10000	
0x1D94	0x40F20000	
0x1D94	0x40F30000	
0x1D94	0x40F40000	
0x1D94	0x40F50000	
0x1D94	0x40F60000	
0x1D94	0x40F70000	
0x1D94	0x40F80000	
0x1D94	0x40F90000	
0x1D94	0x40FA0000	
0x1D94	0x40FB0000	
0x1D94	0x40FC0000	
0x1D94	0x40FD0000	
0x1D94	0x40FE0000	
0x1D94	0x40FF0000	
0x0c0c	0x02f1e8b7	
0x1ee8	0x00000000	
0xffff 0xffff
